subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Commerce,1994,Which of the following statements is TRUE about sea transport?,all ships have specific routes to ply,all ships must be insured at every journey,all ships are insured separately from the crew,all ships normally arrive at their destination with goods,C
Commerce,1994,The postal organization which preceded the Nigerian Postal Service is,Post and Telecommunication,Post and Telephone,Post and Teleprinter,Post and Telegraph,D
Commerce,1994,Goods discharged from ships on which import duties have not been paid are kept in the,ordinary warehouse,public warehouse,private warehouse,bonded warehouse,D
Commerce,1994,"A sole proprietor insured his goods worth N200,000 for half the value. There was a fire accident in which goods valued N80,000 were destroyed. The value of compensation expected from the insurer is","N40,000","N80,000","N100,000","N200,000",B
Commerce,1994,One of the effects of the devaluation of the Naira is that the,goods that can be imported with the naira have become cheaper,value of other currencies relative to the naira have become cheaper,goods that can be exported from Nigeria have become costlier,imports that can be bought with the naira have become costlier,D
Commerce,1994,Drawing two parallel lines across a cheque means that it has to be paid into the account of the,payee,drawer,drawee,payer,A
Commerce,1994,The financial institution established to boost Nigeria's trade with the rest of the world is called,Nigerian Deposit Insurance Corporation,Nigerian Economic Reconstruction Fund,Nigerian Industrial Development Bank,Nigerian Export-Import Bank,D
Commerce,1994,Which of the following is both direct and indirect credit enterprise?,A co-operative and thrift society,retail co-operative society,consumer co-operative society,wholesaler co-operative society,A
Commerce,1994,The business in the stock exchange is characterized essentially by,dealing,brokerage,speculations,transactions,A
Commerce,1994,The second tier security market is,an appendage to the Nigeria stock exchange,a member of the Nigeria stock exchange,meant for the shares of quoted private companies,a regulating arm of the Nigerian stock exchange,B
Commerce,1994,The element of the marketing mix are,"product promotion, place and price","[personal selling, advertising and research","promotion, production, place and price","procurement, price, product and place",A
Commerce,1994,Which of the following items has the shortest effect on the consumer,fashion,innovation,fad,attribute,B
Commerce,1994,Which of the following is a form of sales promotion,advertising on radio,offering free sample,distributing printed materials,advertising on television,B
Commerce,1994,One advantage of personal selling over all other elements of promotion is that,it can provide instant feedback,it is very cheap in terms of cost per contact,it does not need to use mass media,sales people are wewll trained,A
Commerce,1994,Which of the following must be present in an agency by agreement?,intentions,will,consent,authority,A
Commerce,1994,"An agreement to sell is distinguishable from sale because in the former, the transfer of goods is",not anticipated,not discussed,deferred,immediate,C
Commerce,1994,Mr Amusa says to Mr Bello 'i will sell you this hat for N30'. And Mr Bello replied 'i will pay N29'. The contract is,an offer and acceptance,an implied contract,a complete simple contract,an offer but no acceptance,D
Commerce,1994,Nationalization of an industry means that its ownership becomes that of,government,shareholders,taxpayers,indigenes,A
Commerce,1994,The comprehensive import supervision scheme was set up by the federal government in order to,reverse Nigeria's unfavourable balance of trade,promote fair trade between Nigeria and other countries,counteract all fraudulent business deals of Nigeria with other nationals,"ensue that import into Nigeria are of the correct quality, value and quantity",D
Commerce,1994,Which of the following has power to order withdrawal of a particular food item from circulation?,Standard organisation of Nigeria,Federal High courts in Nigeria,Food and Drug Department of the Federal Ministry of health,Local government health inspector,C
Commerce,1994,Which of the following maxims negate the principle of collective bargaining?,individual employees have weak bargaining base,individual employees attain strength when they come together in union,only members of the union can benefit from agreements negotiated by the union,"collective bargainig covers the vast majority of employees, whether union members or not",C
Commerce,1994,NACCIMA stands for,"Nigerian-American Center for Culture,Civic, Industries, Minerals and Arts","Nigerian Association for Culture ,Civic, Industries, Minerals and Arts","National Agency for Culture, Civilization, Investment, Manufacturing, and Agriculture","Nigerian association of Chambers of commerce, Industries, Mines and Agriculture",D
Commerce,1994,"For establishment of a powerful consumers' association in Nigeria to exist, there must be",financial and moral support from the public,honest and commited leadership,allocation of goods from the producer,freedom from external influence,D
Commerce,1994,which of the following is the most important business resource?,money,management,materials,manpower,D
Commerce,1994,The harmonious relationship among the various units in an organization is ensured through,co-ordination,motivation,planning,leadership,D
Commerce,1994,The principle of span of control stipulates that,an employee should report to only one superior,manager must demand accountability from their surbordinates,resources have to be economized within the various division,the number of employee reporting to one superior should be kept to workable maximum,D
Commerce,1994,Which of the following makes other functions of business its appendages?,production,marketing,finance,personnel,B
Commerce,1994,The use of computer in modern banking industry is a reflection of,competitive development,scientific development,economic development,technological development,D
Commerce,1994,"When an oil exploring and mining company builds a health center in one of the communities where it operates, such a company is",currying favour from local people,finding a way to spend resonsibility,fulfilling part of its social responsibilty,invest its idle funds,C
Commerce,1994,The West African clearing House became legally operational on,"1st july, 1976","25th june, 1975","14th march, 1975","3rd may, 1974",A
Commerce,1994,The lake Chad Basin commission was founded to enable member states,expand the volume of water in the lake for fishing activities,increase navigational activities on the lake,dam the lake for electricity and agricultural purposes,co-ordinate their efforts in managing the use of the lake's resources,D
Commerce,1994,"[Figure required]
What is the working capital as at December 31,1992?",N 65 250,N60 000,N 48 650,N 41 950,D
Commerce,1994,"[Figure required]
A company earned a total revenue of N108 million with a total cost of N91 million in 1991. If it paid 45% tax on its gross profit for that year, determine its net profit.",N24.65 million,N17.00million,N9. 35 million,N7.65million,C
Commerce,1994,"[Figure required]
What are fixtures and fittings in a balance sheet?",liquid capital,current assets,fixed assets,working capital,C
Commerce,2001,The pivot on the wheel of commerce rotates is,tariff,trade,taxation,price,B
Commerce,2001,A distinguishing characteristic of labour is that it is,constant,expensive,mobile,cost,C
Commerce,2001,Land as a factor of production does not vary in?,quantity,nature,quality,cost,A
Commerce,2001,Which of the following services does a lawyer render?,industrial services,indirect services,direct services,commercial services,C
Commerce,2001,The partner that only contributes part of the capital used in the formation and running of a business is known as?,a passive partner,an active partner,a dormant partner,a nominal partner,C
Commerce,2001,One major advantage of a credit and thrift cooperative is that,It can approach government for loan,It encourages saving habit,there are no legal restrictions,each member has a vote during meetings,B
Commerce,2001,A form of ownership which exploits the strength of one partner to remedy the weakness of the other is a?,joint partnership,cooperative,corperation,joint venture,A
Commerce,2001,"At the collapse of a business enterprise, the person appointed to dispose of all assets is called",a broker,an auctioneer,a liquidator,an auditor,C
Commerce,2001,Entrusting the management of a company to the courts to enable the settlement of the company’s obligations is an indication of?,distress,closure,bankruptcy,liquidation,C
Commerce,2001,"[Figure required]
The capital employed is","N 1,000","N 1,370",N 140,N50,A
Commerce,2001,The financial instrument for borrowing in which the collateral is usually more than the amount borrowed is?,trust certificate,detachable warrant,mortage bond,converttible securities,C
Commerce,2001,(i) Personal Savings (ii)Retained Earnings (iii)Accrued taxes Which of the items above constitute internal sources of financing for companies?,i and ii,i and iii,ii and iii,"i, ii and iii",A
Commerce,2001,The difference between total current assets and total current liabilities of a business is known as,quick ratio,liquidity ratio,working capital,circulating capital,C
Commerce,2001,"[Figure required]
The capital owned is","N2,740","N 1,350","N1,150",N570,D
Commerce,2001,One of the reasons why wholesaling must continue is that?,the tax paid by wholesalers on their profit enhances national revenue,"by creating artificial scarcity, the wholesaler is enhencing competition",the wholesaler provides technical advice to the retailer,the gap between manufacturers and retailers is reduce byn wholesalers,D
Commerce,2001,The merchant wholesaler is referred to as,del-credere agent,a broker,rack jobber,a factor,C
Commerce,2001,A pro-forma invoice is sent to inform a buyer about the,quantity of goods,prices of goods,designation of goods,quality of goods,B
Commerce,2001,The balance of payments of countries is,a record of imports and export,a systematic record of transaction among countries at a given time,the current and the capital accounts and their payments,the trade relationships and payment among nations,B
Commerce,2001,The major procedures in the purchase and sale of goods are enquiry,"quotation, order and invoice","placement, order and invoice","bargin, order and invoice","order, sale, and invoice",A
Commerce,2001,The trade discount receivable by Mr Bacus is,"N4,500","N7,500","N10,500","N12,000",B
Commerce,2001,"If Mr. Bacus fulfills his promise, he will be entitled to a cash discount of?","N2,760","N3,000","6,500","9,500",B
Commerce,2001,Bank Giro is a method of settling debt from a,customer to a bank,bank to customer,customer to another,bank to another,C
Commerce,2001,Warehousing is a productive function because it increase the,quantity of goods,utility of goods,quality of goods,price of goods,B
Commerce,2001,A factor necessary for siting a warehouse is nearness to,raw materials,labour,capital,consumers,D
Commerce,2001,Pooling of risk in insurance means that?,compensations are paid out of a common fund,two people can pool their risks to be insured,two insurance companies can buy two policies,insurance companies should encourage taking risks.,A
Commerce,2001,The major difference between insurance and assurance is that while insurance,"takes care of uncertainty, assurance takes care of risks","takes care of risks , assurance takes care of uncertainty","hinges on probabilities, assurance is based on possibilities","is about indemnity, assurance is about life in the future",C
Commerce,2001,A documentary bill will normally be accompanied by,". sales invoice, bill of lading and insurance certificate","clean bill, bill of lading, and insurance certificate","bill of lading, consular invoice, and insurance certificate","consular invoice, FOB certificate and bill of lading",D
Commerce,2001,Which of the following best describes the classification of computer?,"Mini-computer, speed and size","Micro-computer, cost and abilities","Mini-computer, Micro-computer and work station","Mini-computer , hybrid and digital",C
Commerce,2001,The temporary working area of the central processing unit is called the?,C-D ROM,C-D RAM,ROM,RAM,D
Commerce,2001,The significance of money to modern economic system is that it?,is used as a means of payment,promotes specialization and exchange,measures value and promotes exchange,causes inflation in the economy,C
Commerce,2001,One major characteristic of credit unions and thrift societies is that?,the legal processes involved in their formation are rigid,membership is compulsory to people in the same line of business,the contribution of every member depends on the member's ability,a minimum of ten people in the same line of business can form the union,C
Commerce,2001,The Nigerian Stock Exchange publishes a daily official list that gives full information on the?,method of transation agreed to by members,number of participating members in a day,changes in the prices and earnings of securities,changes in the official rules set by the market,C
Commerce,2001,The main factors that determine the value of a stock on the stock Exchange are dividend and,the psychology of the market,capital gain,capital appreciation,warrant payment,C
Commerce,2001,One of the main objectives of the Second-tier Securities Market in Nigeria is to,achieved a realistic exchange rate for the naira,eliminate currency dealings in the black market,assist companies to raise capital,attract investment flow,D
Commerce,2001,The activities aimed at finding out customers' needs and satisfaction can be described as?,social-marketing,macro-marketing,micro-marketing,conceptual marketing,D
Commerce,2001,The most effective type of advertising for branded product is?,direct advertising,Indirect advertising,informative advertising,competitive advertising,D
Commerce,2001,Which of these companies are more engaged in public activities?,i and ii,i and iii,ii and iv,iii and iv,A
Commerce,2001,Which of these companies offers after-sales services?,iv,iii,ii,i,C
Commerce,2001,"Use the information below to answer question 40 and 41. Musa rented a room to adamu for N1,500 and N1,000 part-payment was made. Adamu brought Audu and Jacob his friends to stay in the room. The two friends later paid balance of N500 to Musa. Who are the parties to the contract of renting the room?",Musa and Jacob,Musa and Audu,Adamu and Musa,Audu and Jacob,C
Commerce,2001,Who is the offeree in this contract ?,Musa,Audu,Adamu,Jacob,C
Commerce,2001,Who is the offeree in this contract ?,Musa,Audu,Adamu,Jacob,C
Commerce,2001,The maximum number of shareholders in a public liability company is?,twenty,fifty,one hundred,unlimited,D
Commerce,2001,One way government reduces the repatriation of capital is through,nationalization,divestiture,indidenization,naturalization,C
Commerce,2001,One of the major function of a chamber of commerce is to,"promotes and protect trade, industry and agriculture",advise members on regulations of other countries,settle disputes that arise out of trade,publish books and periodical desired by members,A
Commerce,2001,Departmentalization is an aspect of?,planing,organising,directing,controlling,B
Commerce,2001,A function organization structure is where?,staff performing the same functions are grouped together,department performing similar functions grouped together,activities of similar nature are grouped together,staff performing similar functions are grouped together,D
Commerce,2001,"In the line type of organizational structure,",the lines of authority are vertical,there is the application of division of labour,specialization is carried to a maximum degree,the lines of authority are horizontal,C
Commerce,2001,proper disposal of waste by business firms is one way of discharging their?,responsibility to government,environmental responsibility,community responsibility,responsibility to customers,B
Commerce,2001,One of the obstacles to achieving the objectives of ECOWAS is?,lack of a common currency,colonial linkages,sovereignty of states,language differences,C
Commerce,2001,One of the main obstacles of establishing the Niger River Basin Commission was to?,embark on a comprehensive survey of the available water resources,carry research for the development of fresh water fisheries,develop infrastructure to facilitate economic activities,promotes trade among member-state to improve standards of living,C
Commerce,1995,What are the factors with which commercial undertaking can be distinguish? I Size of the undertaking II Profits generated III Forms of ownership IV Location of the undertaking,I and II only,I andIII only,II and III only,III and IV only,B
Commerce,1995,Freight note is a document,used by government to transport goods from one country to another,issued by a shipping company giving details of charges,used for payment for imported goods,given by an importer to pay for goods at a future period,B
Commerce,1995,Spot market goods are those which are available for,immidiate delivery,short-term delivery,long-term delivery,end of the delivery,A
Commerce,1995,The main advantage of road transport is that it is,convenient and flexible,cheap and direct,common and fast,safe and available,A
Commerce,1995,The practice by which an insurance company accepts a very large risk and later shares it with other insurance companies is called,subrogation,contribution,re-insurance,indemnity,C
Commerce,1995,The insurance policy which provides full cover against all risks at sea is known as,Policy with Particular Average,Policy Free of Particular Average,Marine Freight Insurance,Marine Voyage Policy Insurance,D
Commerce,1995,Berne union is also known as,International Credit Union,International Documentry Credit,International Union of Credit and Investment Insurers,export Credit Guarantee Scheme,C
Commerce,1995,which of the following sets of items was used for exchange in Nigeria before money was introduced?,"cowries, iron rods, brass rods and copper rods","iron rods, copper rods, manilla and cowries","cowries, manilla, brass rod andcopper wires","copper wires, brass wires, cowries and iron rod",C
Commerce,1995,A major liability of a commercial bank arises from,customers' deposits,loans and advances,overdrafts,staff allowance,A
Commerce,1995,A bank statement is a document,ordering a bank to pay on demand a stated sum of money,"containing records of receipts, payments and balance on an account",used for paying into bank account,used for regular withdrawal of money from a savings account,B
Commerce,1995,Which of the following is NOT a function of the stock exchange market?,providing long term loans to large scale enterprises,encouraging people to buy shares and thereby providing capital for investment,providing means of assessing the value of a firm's assets,enabling firms to wind-up quickly in times of difficulties,D
Commerce,1995,"The marketing approach by which a firm carries out detailed analysis of itself, the consumers and its competitors is known as?",market analysis,marketing mix analysis,marketing opportunities analysis,market survey,D
Commerce,1995,The breaking down of a market into separate and identifiable elements each with its own special product requirement is known as market,differentiation,segmentation,penetration,identification,B
Commerce,1995,Taking a new product to a particular part of a country to test the reaction of consumers to the product referred to as,sales promotion,sampling,merchandizing,advertising,A
Commerce,1995,A manufacturer can make his product distinguishable from those of other competitors by,providing catalogues for his wholesalers,aggressive sale ppromotion,branding and packaging the product,selling the product at a much lower price,C
Commerce,1995,Which of the following are forms of sales promotion?,"advertising, personal selling and publicity","advertising, market skimming and publicity","personal selling, packaging and publicity","advertising, packaging and publicity",A
Commerce,1995,A disadvantage of personal selling is that it,increase a company's operating cost,decreases acompany's operating cost,increase a company's number of customers,reduces a company's area of patronage,D
Commerce,1995,"chinyere agree to make a dress for Halima with September 20, 1995 as the delivery date. If the dress was not ready on that date, Halima could",sue Chinyere for damages,sue Chinyere for specific performance,seize another gown from Chinyere's shop,regard the contract between them as terminated,B
Commerce,1995,Consumer sovereignty means that they consumer is,a citizen,always independent,always wrong,always right,D
Commerce,1995,"When an industry or company is nationalized, the state becomes",the major shareholder,the mini shareholder,the only shareholder,an equal shareholder with other individuals,C
Commerce,1995,The federal Government made efforts at rendering public enterprises more efficient and profit-oriented through the process of,privatization,commercialization,indigenization,nationalization,B
Commerce,1995,Which of the following organizations represents those who engages labour in Nigeria?,Nigerian Labour Congress,Nigerian Employers Consultative Association,Manufacturers Association of Nigeria,Nigerian Union of Local Government Employees,A
Commerce,1995,The practice of assessing employees for payment or advancement according to their observed achievement is called,employee ranking,merit rating,job grading,employee education,C
Commerce,1995,Motivation is an essential element in management because it,leads to the improvement of staff welfare,encourage individual to work towards achieving the orgaization's objective,reduce friction among employees in the process of achieving the company's objective,helps to eliminate industrial disharmony,B
Commerce,1995,The direct authority of a superior over his subordinate is known as,staff authority,line authority,line and staff authority,office authority,B
Commerce,1995,A firm's organizational structure would change if,one of the major partner dies,there is excessive competition,there is seasonal variation in demand,the scope of business operation changes,D
Commerce,1995,The secretariat of the Niger Basin Commission is located at,"Ouagadougou, Burkina Faso","Abuja, Nigeria","Niamey, Niger","Bamako, Mali",C
Commerce,1995,The development of commercial activities in Nigeria was facilitated largely by,a good transport system,the indigenization decree,a convenient medium of exchange,a high level of production,C
Commerce,1995,In which of the following sets of occupations can an industrial worker be found?,extraction commerce and construction,manufacturing extraction and banking,"construction, quarrying and insurance","manufacturing , extraction and construction",D
Commerce,1995,Construction activities include the building of houses and roads as well as,brick laying,shoe making,black smithing,car assembling,A
Commerce,1995,"If a partnership deed is silent on how profits are to be shared, partners share profits",in the ratio of the value of business secured by each partner for the partnership,in the ratio of partner capital contributions,in an equal proportion irrespective of partners's capital contributons,according to duties performed by each partner,C
Commerce,1995,Which of the following information is contained in the Articles of Association of a limited liability company?,Rights and obligations of directors,Objectives of the company,Amount of share capital,Limitation of liability of shareholders.,A
Commerce,1995,The merger of two companies producing the same type of products is an example of,vertical integration,horizontal integration,lateral merger,an acquisition,B
Commerce,1995,One of the implications of the incorporation of a company is that,it is more difficult for the company to raise loans,the company can sue but cannot be sued,the company's property becomes distinguished from that of its members,its members become liable for all the debts of the company,C
Commerce,1995,The main advantage of a sole trader is the freedom to,employ anyone he likes,seek advice from any source,take quick decisions,plough all the profits back into the business,C
Commerce,1995,In the case of a voluntary liquidation of a business the receivers is appointed by the by the,creditors,debtors,directors,shareholders,A
Commerce,1995,"When a company uses more of loans than equity to finance its business, the company is said to be",bankrupt,solvent,highly geared,in a strong liquid position,C
Commerce,1995,The nominal value of a share as specified in the Memorandum of Association and the share certificate is the,discounted value,stock value,face value,par value,C
Commerce,1995,A public limited company can raise long-term loans through,the capital market,the money market,bank overdrafts,discount houses,A
Commerce,1995,Factoring is a trade debt term used when the agent buys all the trade debts of the,importers,exporters,nation,customers,B
Commerce,1995,The financial index which compares current assets directly with current liabilities is known as current,turnover,capital,ratio,balance,C
Commerce,1995,Rights issue means the,issue of shares to the directors of a company on favourable terms,Issue of shares by a company only to the founders of the company,right of shareholders to vote on any issue,issue of shares to shareholders on favourable terms,D
Commerce,1995,Rights issue means the,issue of shares to the directors of a company on favourable terms,Issue of shares by a company only to the founders of the company,right of shareholders to vote on any issue,issue of shares to shareholders on favourable terms,D
Commerce,1995,Profit that is expressed as a percentage of the cost of goods sold is referred to as,margin,mark-up,gain percent,gross profit,B
Commerce,1995,Given: Opening stock 40 000 Purchases 115 000 Closing stock 60 000 Sales 250 000 What is the cost of goods sold?,N 155 000,N 95 000,N 50 000,N 30 000,B
Commerce,1995,"In the channel of distribution, which of the following sets is entirely made up of middlemen?","Wholesalers, retailers and agents","Manufacturers, consumers and retailers","Wholesalers, agents and consumers","Retailers, manufacturers and wholesalers",A
Commerce,1995,Goods imported into a country for the purpose of re-exporting attracts a rebate known as,customs draw back,export royalty,incentive,export rebate,A
Commerce,1995,Most foreign trade transaction are paid for through the use of,central bank cheques,bank drafts drawn by commercial banks on their foreign branches,irrevocable and confirmed letters of credit,letters of credit authenticated by the embassies of the respective countries,C
Commerce,1995,RRF as a scheme introduced by the central bank of Nigeria means,recording and Rediscounting Facility,refinancing and Recording Facility,refinancing and Rediscounting Facility,refinancing and Reinvesting Facility,D
Commerce,1995,Which of the following gives the correct order in which the listed documents are used?,"debit note, order, delivery note, invoice and statement","order, delivery note, invoice, debit note and statement","statement, order, invoice, delivery note and debit note","invoice, order, statement, debit note and delivery note",B
Commerce,2002,The most important factor that delayed the development of commerce in Nigeria was?,A.the inefficient means of communication,that there were few entrepreneurs,that there were few developed markets,secondary production has to do with changing the?,C
Commerce,2002,Secondary production has to do with changing the?,shape of raw materials through construction operations,physical form of raw materials into finished goods,utility of raw materials by an engineering process,nature of raw materials through manufacturing processes,B
Commerce,2002,The major responsibility of an entrepreneur is?,Employing all factors of production in the business,coordinating and determining the proportion of what to produce,planning and organizing all activities in the business,directing and controlling all the affairs of the business,A
Commerce,2002,Which of the following best described the scope of commerce,All forms of commercial exchanges relating to industry,Buying and selling and the construction industry,All occupational exchanges relating to industries and commercial activities,Buying and selling as well as the extraction of natural resources,C
Commerce,2002,Capital as a factor of production can be used as?,Money that is regarded as assets,Goods that are useful in business,Input for further production,Services that provide satisfaction,C
Commerce,2002,The agency that currently oversees the privatization and commercialization process in Nigeria is the?,Securities and Exchange Commission,Technical Committee on privatization and commercialization,Nigeria Stock Exchange,Bureau of Republic Enterprises,D
Commerce,2002,"Okeze contracted to sell TV sets to Ojo. Unknown to them, the sets were stolen in transit. This contract may be terminated on the ground of",bankruptcy,frustration,fraudulence,breach of contract,B
Commerce,2002,Which of the following countries are members of the lake Chad Basin Commission?,Niger and Cameroun,Benin and Nigeria,Chad and Benin,Nigeria and Mali,A
Commerce,2002,A core investor in the current phase of privatization in Nigeria is one who?,can afford to buy most of the shares of the enterprises,will be at the core of the enterprises,can mobilize foreign currency equivalent to the value of the enterprises,has the technical know-how of the enterprises,A
Commerce,2002,The agency in Nigeria which ensures that products conform to government quality specifications is the?,Standards Organization of Nigeria,Nigerian Consumers’ Association,Manufacturers’ Association of Nigeria,Nigerian Chamber of commerce,A
Commerce,2002,Awarding scholarships and sponsoring sports by a business organization are example of?,advertising strategy,economic responsibility,marketing strategy,social responsibility,D
Commerce,2002,The commercialization of public enterprises is aimed at?,increasing efficiency and making the enterprises self-sufficient,advertising and promoting the goods and services of the enterprises,increased assistance and patronage of the enterprises by the public,selling the goods and services of the enterprises,A
Commerce,2002,An author’s exclusive righto his published and unpublished works is known as?,authors right,constitution right,patent right,copyright,D
Commerce,2002,"Under the endowment policy, the money handed over to the insured at the expiration of the stipulated time or at death is the?",indemnity,surrender value,lump sum benefit,insurance premium,C
Commerce,2002,the machine used for sending telex messages is known as a?,radar,fax machine,dictaphone,teleprinter,D
Commerce,2002,Which of these insurance principles requires a close connection between the actual loss suffered and the risk insured?,indemnity,proximate cause,Contribution,Subrogation,B
Commerce,2002,The unit through which result of a processed data are displayed is the?,logic unit,display unit,control unit,output unit,D
Commerce,2002,Which of the following is used to inform the addressee that a registered parcel is ready for collection?,Express label,Counterfoil,Telegram,Slip,D
Commerce,2002,The type of computer commonly found in office is?,laptop,desktop,the hybrid computer,the mainframe computer,C
Commerce,2002,The mode of transporting crude oil to the ports for export purposes is by,tanker,rail,road,pipeline,D
Commerce,2002,The temporary insurance certificate issued to the insured before drawing up a policy is a?,cover note,testimonial,time policy,proposal form,A
Commerce,2002,The bulls and bears in the Stock Exchange market help to minimize,the number of shares and bonds sold,price increases of securities,fluctuations in the prices os securities,the elasticity of the prices of securities,C
Commerce,2002,Debentures differ from shares in that,they are secured on the company's assets,ownership is open to the public,they form part of the capital of the business,rewards are usually paid out of profits,A
Commerce,2002,The Stock Exchange is a market where?,long-term securities are sold,all types of securities are sold,short-term securities are sold,medium-term securities are sold,B
Commerce,2002,A retail cooperative society aims at?,hoarding manufactured goods,cutting off the profit of the middlemen,lending money to members at a low interest rates,encouraging members to save money,B
Commerce,2002,A bill of exchange already accepted can be discounted by the holder in?,the central bank,at least two banks,his bank,any bank,D
Commerce,2002,The document issued by the seller which gives detail of the goods he sells is known as?,catalogue,tender,price list,invoice,D
Commerce,2002,Given: i. Retail ii. Export iii Transport iv. Import V. Insurance Vi. Banking and finance Vii. Wholesale Viii Communication. Which of the above is aid to trade?,"i, ii, iii and Viii","iii, V, Vi and Viii","i, ii, iii and Vi","ii, V,Vi, and Vii",B
Commerce,2002,The organizational structure that relates the positions of specialist to the line mangers is called?,line structure,staff structure,line and staff structure,functional structure,B
Commerce,2002,A wholesaler who possesses the title of goods he sells is known as?,a merchant wholesaler,a multiple wholesaler,a general wholesaler,an agent wholesaler,A
Commerce,2002,An important principle of a good organization structure is,ideal standard,span control,clarity of mission,adequacy resources,B
Commerce,2002,A company that is registered with the corporate Affairs Commission only without being enlisted on the Stock Exchange is a?,public liability company,joint venture company,limited company,registered company,D
Commerce,2002,A contract for the sale of goods involved the?,"producer, seller and the buyer of goods",offering of goods to customers,transfering of the title to goods for money,exchange of goods,C
Commerce,2002,the total of share capital which a company should be allowed to issued is known as?,called-up capital,paid-up capital,nominal capital,issued capital,C
Commerce,2002,"The process of mobilizing, engaging and maintaining workers to work for an organization is referred to as?",staffing,selection,recruitment,employment,A
Commerce,2002,Recognized members of the Stock Exchange who buy and sell securities on their own behalf are known as ?,bulls,jobbers,brokers,stags,B
Commerce,2002,Which of the following involves foreign trade ?,supermarket,Chain stores,Departmental stores,commodity markets,D
Commerce,2002,Which of the following is a function of employers’ associate?,undertaking research on behalf of employees,promotion of thrift in workers,promotion of workers'welfare,Dissemination of information through sponsored journals,C
Commerce,2002,Which of the following industries is normally located near the source of its raw materials?,Footware industry,Cement industry,Textile industry,Automobile assembly,B
Commerce,2002,One of the most important function of marketing is?,encouraging research activitiesto meets needs,creating classesof merchant among businessmen,the extension of market for businessmen,providing finances to business,A
Commerce,2002,Securities on which the buyers are not issued with certificate are called?,authorized securities,inscribed securities,bearer securities,registered securities,B
Commerce,2002,"In product pricing, which of this element needs more consideration than others?",the demand for the product,the demography of the buyers of the product,the economic conditions in the markkets,the cost of producing the product,D
Commerce,2002,The principal objectives of the Central Bank of Nigeria can be classified broadly into?,bankers' bank lender of last resort and issuance of currency,"service, currency management and financial intermediation","banking services, foreign exchange operations and open markets operations","service, monetary policy and developmental functions",A
Commerce,2002,The letters E and OE stand for?,errors of exception,errors and omissions expected,estimate and order error,end of error,B
Commerce,2002,An important issue for consideration in the product element of the marketing mix is the?,adequate of the peroduct,channel of diistribution of the product,price of the product,planing and development of the product,D
Commerce,2002,A group of companies is a collection of?,subsidiaries and their holding company,firms,associates and their holding company,industries,A
Commerce,2002,Which of the following is an example of trade associations?,European Union,National Marketing Board,Organization of African Unity,National Farmers' Council,B
Commerce,2002,which of the following is an determines the quality of goods and that a retailer sells?,the mode of contract of sales,the type of manufacturer,the regulations regarding sales in the area,the location of his shop,B
Commerce,2002,An advantage of hire purchase to the consumer is the?,economies of scale in production,possession of goods before payment,increase in turnover and profit,low interest rate chargeable,B
Commerce,2002,The founders ‘share are usually referred to as deferred shares because the holders?,are entitled to cumulative dividends,receive theirdividends after other shareholders,receive their diviends before shareholders,are not entitled to any dividends,B
Commerce,2007,Consumers require protection against exploitation to ensure?,adequate consumer awareness,availability of products variety,the sale of quality products,increased aggregate demand,C
Commerce,2007,"The business environment that takes into cognizance the age distribution, ethnic mix and educational level of the consumer is?",demographic evironment,economic evironment,cultural environment,natural environment,A
Commerce,2007,An agent who takes tittle to goods and has authority to buy and sell on behalf of another is?,a jobber,a broker,a factor,an auctioneer,C
Commerce,2007,Citizens are against privatization mainly because of?,the rationalization of organizations,increased prices of goods and services,the likelihood of monopoly,ineffective management,B
Commerce,2007,The major achievement of ECOWAS is?,the expansion of regional trade,the emergance of a monetary union,infrastructural development in member countries,mobility of labour among member countries,A
Commerce,2007,An announcement of a person's willingness to enter into a contract is referred to as?,a proxy,an offer,a consideration,an acceptance,B
Commerce,2007,The macro-environment forces and trends which are a constraint on business operations are referred to as?,technological factors,artificial factors,external factors,internal factors,A
Commerce,2007,Personal selling is most effective in marketing industrial goods because it involves?,recongnition and attachment to customers,personal interaction and information gathering,demonstrations and product acceptability,after-sales services and product demonstrations,B
Commerce,2007,The controllable variables that a firm uses to achieve its marketing objectives are called?,marketing principles,marketing mix,marketing concepts,marketing functions,B
Commerce,2007,Public relations and advertising are similar in terms of?,communicating product information,customer education,the mode of operation,creating a favorable attitude,D
Commerce,2007,A major function of an entrepreneur is?,decision-making,encouraging competition,human-resource training,motivating employees,A
Commerce,2007,A Memorandum of Association is applicable to a?,sole trader,joint company,partnership,public corporation,B
Commerce,2007,The sustainable growth of commerce is largely due to?,marketing,advertising,exchange,branding,B
Commerce,2007,A major advantage of a cooperative society is that it?,gives members the opportunity to unite,draws members closer to government,promotes awareness among members,encourages thirft among members,D
Commerce,2007,The making of doors from timber planks is a type of?,manufacturing,tertiary production,secondary production,primary production,C
Commerce,2007,Law-making is an example of?,indirect service,commerical occupation,direct service,industrial occupation,C
Commerce,2007,A document which advertise the shares of a company is known as a?,memorandum of satisfaction,dividend warrant,deed,prospectus,D
Commerce,2007,The creation of utilities is to satisfy human wants is referred to as?,production,consumption,industrialization,occupation,A
Commerce,2007,A major criticism of a cooperative society is?,limited capital,granting exceessive loans to members,selling goods on credit to non-members,management incompetence,D
Commerce,2007,An economic activity which deals with natural resources is a form of?,extraction,refining,construction,manufacturing,A
