question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ECO-J00831,JAMB,Economics,,,medium,1994,,The diagram represents a production function. At which of the points does diminishing returns set in,,I,J,K,L,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00832,JAMB,Economics,,,medium,1994,,"If the economy of the country is operating at X, the implication is that",,the productive capacity is being fully utilized,the productive capacity is not being fully utilized,too little of consumer goods is being produced,there is a disequilibrium between the production of capital and consumer goods,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00833,JAMB,Economics,,,medium,1994,,What is the equilibrium quantity?,,50,250,350,450,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00834,JAMB,Economics,,,medium,1994,,"Above the equilibrium point, a further rise in price tends to",,increase demand and restrict supply,restrict demand and decrease supply,increase demand and decrease supply,decrease demand and increase supply,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00835,JAMB,Economics,,,medium,1994,,Elasticity of demand is an effective tool in the hand of a producer in that it enables him,,"rise his profits and lower his, costs",discourage buyers from cheating,determine what he will produce,set his price to maximize his profit,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00836,JAMB,Economics,,,medium,1995,,"In the circular flow of income above, the direction of flow of payments for consumption purchases is shown by the arrow",,K,L,M,N,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00837,JAMB,Economics,,,medium,1995,,"In this table, the marginal product of the 2nd worker and the average product of the 5th worker respectively are",,23 and 20,22 and 19,14 and 19,11 and 20,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00838,JAMB,Economics,,,medium,1995,,"In the diagram above, the total revenue of the monopolist is given by the area",,OQ 1 MP 2,P 4 MTP 1,OQ 1 TP 1,OQ 2 SP 2,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00839,JAMB,Economics,,,medium,1995,,The diagram above explains the effect of government's imposition of an indirect tax on a good characterized by zero price elasticity of demand. The total tax revenue is represented by,,P 1 EHP o,P o HQ o 0,P 1 EQ o 0O,P 1 ED 1 P o,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00840,JAMB,Economics,,,medium,1995,,The diagram above explains the effect of government's imposition of an indirect tax on a good characterized by zero price elasticity of demand.The tax imposed is borne,,totally by the consumer,totally by the producer,equally by both the consumer and the producer,by the the government,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00841,JAMB,Economics,,,medium,1997,,The current stage of the economy is depicted in curve 1. Point P suggests that the economy is,,reaching full employment but not full prodduction,attaining full production but not full employment,under capitalized,attaining both full employment and full production,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00842,JAMB,Economics,,,medium,1997,,The movement of curve I to ll suggests,,an improvement in capital goods technology but not in consumer goods technology,a movement from unemployment to full employment,that the output for the society has declined,a gain in consumer goods technique and not in capital goods technique,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00843,JAMB,Economics,,,medium,1997,,"From the diagram above, the quantity of output is determined by the point",,M,N,H,F,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00844,JAMB,Economics,,,medium,1997,,"In the diagram below, the curve which represents firm's short-run average variable cost is curve",,l,ll,lll,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00845,JAMB,Economics,,,medium,1998,,"In the diagram above, full employment is indicated by",,L,M,N,P,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00846,JAMB,Economics,,,medium,1998,,"From the table above, the total utility for the individual who consumes 3 units of commodity X is",,50 units,150 units,230 units,250 units,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00847,JAMB,Economics,,,medium,1998,,Population Statistics of a Country. The dependency ratio between 1960 and 1990 is,,increased by 5%,increased by 2%,decrease by 2%,decrease by 5%,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00848,JAMB,Economics,,,medium,1998,,"Population Statistics of a Country. In 1990, the difference between the dependent population and the active population ratio is",,22%,20%,16%,4%,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00849,JAMB,Economics,,,medium,1998,,What is the average total cost when output is 200 units in the table above is,,₦1.00,₦2.0,₦1.20,₦2.40,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00850,JAMB,Economics,,,medium,1998,,"In the diagram above, the price P 2 in price control situation, is referred to as",,minimum price,markup price,maximum price,mark-down price,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00851,JAMB,Economics,,,medium,1998,,The shaded triangle in the diagram above is known as,,excess supply,consumer surplus,excess consumption,producer surplus,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00852,JAMB,Economics,,,medium,1998,,"In the diagram above, D o D o is the original demand curve, S o S o is the original supply curve, D 1 D 1 is the new demand curve. What is the new equilibrium quantity?",,Q 1,Q 2,Q 3,Q 4,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00853,JAMB,Economics,,,medium,1998,,"In the diagram above, profit is maximized at 1 he output level",,ON,OK,OL,OF,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00854,JAMB,Economics,,,medium,1999,,From the table calculate the national income,,"₦18,500m","19,000m","19,500m","20,500m",,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00855,JAMB,Economics,,,medium,1999,,"In the table, the income elasticity of clothing is",,0.5,2.0,2.5,5.0.l,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00856,JAMB,Economics,,,medium,1999,,The graphs illustrate,,joint demand,derived demand,composite demand,competitive demand,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00857,JAMB,Economics,,,medium,1999,,"In the diagram above, the consumer attains equilibrium at point",,G,H,J,K,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00858,JAMB,Economics,,,medium,1999,,Use the diagram above to answer this question. Points E 6 and E 5 are respectively equilibrium points for,,D o and S o D o and S 2,D 1 and S 2 ; D 2 and S o,D 2 and S 1 ;D 2 and S 2,D 2 and S o D o and S 2,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00859,JAMB,Economics,,,medium,1999,,Use the diagram above to answer this question. Identity the three Important factors that can make So to become either S1 or S2,,"Technology, weather and population","Technology, price and tastes","Weather, price and technology","Population, weather and taste",,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00860,JAMB,Economics,,,medium,1999,,Calculate the total number of people engaged in tertiary production from the data above,,"5,000,000","6,250,000","11,750,000","12,250,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00861,JAMB,Economics,,,medium,2000,,The supply of commodity II increasing from S 1 S 1 to S 2 S 2,,Moves the price below OP 2,Leads to a fall in price from OP 1 to OP 2,Increases the price from OP 2 to OP 1,Moves the price to OP 1,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00862,JAMB,Economics,,,medium,2000,,Commodities I and II are,,competitive supply,Substitute supply,Joint supply,Derived supply,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00863,JAMB,Economics,,,medium,2000,,In the diagram L 1 L 1 and L 2 L 2 are budget lines. 1 1 1 2 and 1 3 are indifference curves. which points are optimal?,,U and W,V and W,U and Z,Y and Z,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00864,JAMB,Economics,,,medium,2000,,The average product Y is,,15.5,14.6,12.0,8.0,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00865,JAMB,Economics,,,medium,2000,,The marginal product X is,,18,20,24,25,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00866,JAMB,Economics,,,medium,2000,,"In a price-taking firm, the portion UT above is the firm's",,average revenue curve,Long-run average cost curve,demand curve,supply curve,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00867,JAMB,Economics,,,medium,2000,,If the pass mark was 40. how many students passed the examination?,,100,120,160,200,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00868,JAMB,Economics,,,medium,2000,,How many student took the examination?,,280,240,200,80,,,jamb-archive|needs-key|needs-figure,past-question,draft
ECO-J00869,JAMB,Economics,,,medium,2000,,The firm whose sales and total revenue of the commodity as given in the table is,,a monopolist,a monopolistic competitor,an oligopolist,a perfect competitor,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00674,JAMB,Geography,,,medium,1990,,The diagram showing proportion are,,P and Q,P and S,Q and S,"P, Q and S",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00675,JAMB,Geography,,,medium,1990,,"In P, what percentage does Cameroun account for?",,9%,12%,15%,18%,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00676,JAMB,Geography,,,medium,1990,,The graphic technique used in Q is,,simple line graph,polygraph,compound line graph,flow lines,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00677,JAMB,Geography,,,medium,1990,,Rainfall would normally be expected at location,,1,2,3,4,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00678,JAMB,Geography,,,medium,1990,,In which direction will the winds blow?,,clockwise,ani-clockwise,parallel to the isobars,at right angle to the isobars,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00679,JAMB,Geography,,,medium,1990,,The agricultural products associated with the shaded areas are,,livestock and wheat,timber and maize,cattle and rice,sheep and coffee,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00680,JAMB,Geography,,,medium,1990,,Region 1 is located in the,,Apalachians,Great lake region,Great plains,Rockies,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00681,JAMB,Geography,,,medium,1990,,Region 2 is located in the,,Amazon basin,Pampas,Campos,Llanos,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00682,JAMB,Geography,,,medium,1990,,The total length of River Kudi is approximately,,22km,20km,18km,16km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00683,JAMB,Geography,,,medium,1990,,The channel of River Kudi is broad and,,Incised,Graded,Shallow,U-shaped,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00684,JAMB,Geography,,,medium,1990,,The general landscape of the area can be described as a,,Flood plain,High plain,Pediplain,Peneplain,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00685,JAMB,Geography,,,medium,1990,,Which of the following settlements has the grid reference 098172?,,Dan,Biu,Bika,Maga,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00686,JAMB,Geography,,,medium,1990,,A major problem the settlements in this area are likely to face is that of?,,Poor drainage,Poor accesibility,Dense vegetation,Infertile soils,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00687,JAMB,Geography,,,medium,1991,,"The diversions marked T, X, Y and Z are known collectively as",,zonations,bedding planes,sedimentation,geologic formations,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00688,JAMB,Geography,,,medium,1991,,The features marked PQ is a fault,,line,scarp,slope,plane,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00689,JAMB,Geography,,,medium,1991,,Which of the following cross sections best illustrates a glaciated valley?,,I,II,III,IV,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00690,JAMB,Geography,,,medium,1991,,The cross section marked IV best illustrate a river valley at its,,upper course,middle course,lower course,source,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00691,JAMB,Geography,,,medium,1991,,The highest point in the area lies above,,300m,325m,350m,375m,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00692,JAMB,Geography,,,medium,1991,,The length Owa River from its source to where it terminates in the area mapped is?,,19km,20km,23km,25km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00693,JAMB,Geography,,,medium,1991,,There are more settlements to the south because the,,Land to the north being more fertile is reserved for farming,Areas to the north are liable to flooding,Terrain to the south is less rugged,North is more prone to river blindness,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00694,JAMB,Geography,,,medium,1991,,River Owa overflows its bank because,,Its valley has become shallow due to the deposition of alluvium,The volume of water has been increased by rainfall,Farmers block its channel with farm wastes,Its valley is narrow,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00695,JAMB,Geography,,,medium,1991,,"Assuming that the area depicted on the map is located in the tropics, what crops are likely to thrive during the dry season in the area marked W?",,Tomatoes and onions,Upland rice and millet,Yams and potatoes,Soya beans and cowpeas,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00696,JAMB,Geography,,,medium,1992,,The temperature in the month of December at station Y is,,4 o C,-4 o C,24 o C,32 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00697,JAMB,Geography,,,medium,1992,,Monthly temperatures are above the average in,,8months,7months,6months,5months,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00698,JAMB,Geography,,,medium,1992,,Aperi is typically a,,Confluence town,Dry point,Wet point settlement,Foothill settlement,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00699,JAMB,Geography,,,medium,1992,,The feature marked J is a,,Valley,Pass,Col,Shoulder,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00700,JAMB,Geography,,,medium,1992,,The average gradient the slope marked L-K is approximately,,1:15,1:17,1:19,1:21,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00701,JAMB,Geography,,,medium,1992,,The roads in the area shown on the map appear to have been constructed mainly to avoid,,Footslopes,Steep gradients,Upland areas,Building bridges,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00702,JAMB,Geography,,,medium,1992,,Which type of land management is best suited for the area around Aperi?,,Terracing,Contour Ploughing,Afforestation,Rreclamation,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00703,JAMB,Geography,,,medium,1993,,Which type of climate is depicted by the graph?,,Humid mid latitude in the northern hemisphere,Humid subtropical in the southern hemisphere,Rainy tropical in the southern hemisphere,Equitorial hot and wet in the northern hemisphere,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00704,JAMB,Geography,,,medium,1993,,The temperature of this region is characterized by a,,low annual range of about 30 o C,seasonal range of more than 10 o C,high diurnal range of more than 15 o C,marked effect of altitude,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00705,JAMB,Geography,,,medium,1993,,The most important minerals found in the area marked X are,,iron ore and thorium,galena and tantalite,lead and zinc,tin and columbite,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00706,JAMB,Geography,,,medium,1993,,The major environmental problem associated with the area marked Y is,,drought,insect pest,oil pollution,gully erosion,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00707,JAMB,Geography,,,medium,1993,,The most extensive vegetation type in the area marked Z is the,,fresh water swamp,mangrove swamp,coastal thicket,rain forest,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00708,JAMB,Geography,,,medium,1993,,Which of the ocean currents on the map is the Benguela Current?,,1,2,3,4,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00709,JAMB,Geography,,,medium,1993,,The shaded areas marked Y on the map are,,Salt lakes,Major groundwater aquifers,Oil-producing areas,Regions of large-scale irrigation,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00710,JAMB,Geography,,,medium,1993,,The Ahaggar plateau is the shaded area marked,,P,Q,R,S,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00711,JAMB,Geography,,,medium,1993,,The broken lines in the diagram above represent a,,River capture,Ridge,Watershed,Rift valley,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00712,JAMB,Geography,,,medium,1993,,The main work of the rivers in the shaded area is likely to be,,Terracing,Lateral Erosion,Deposition,Down-cutting,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00713,JAMB,Geography,,,medium,1993,,The area shown on the map is a,,Scarpland,Ridge,Dissected plain,Rugged upland,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00714,JAMB,Geography,,,medium,1993,,The principal functions of Ubi are most likely to be,,"Religion, health care and farming","Transportation, education and commerce","Transportation, manufacturing and health care","Farming, education and commerce",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00715,JAMB,Geography,,,medium,1993,,The approximate height of the rest house north-east of Jeta is,,30m,40m,45m,50m,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00716,JAMB,Geography,,,medium,1993,,The drainage pattern of the Gindi river basin is,,Rectangular,Radial,Trellis,Dendritic,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00717,JAMB,Geography,,,medium,1993,,The low density of settlements in the Gindi river basin is best explained by the,,Rough topograghy,Dense forest,Poor transport network,Scarcity of farmland,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00718,JAMB,Geography,,,medium,1994,,"If the total population of the city is 500,000. What is the population of ward4?",,"150,000","125,000","100,000","75,000",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00719,JAMB,Geography,,,medium,1994,,An alternative graphic method that can be used to depict the same information is the,,dot map,proportional circle,divided rectangle,choropeth,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00720,JAMB,Geography,,,medium,1994,,The area shaded and marked Q is well known for its,,oil palm forest,crdue oil,swamp rice,ginger plantation,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00721,JAMB,Geography,,,medium,1994,,Which important mineral is exploited at the place marked X?,,tin ore,iron ore,limestone,gold,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00722,JAMB,Geography,,,medium,1994,,What climatic type is illustrated in the graph?,,Montane,Equatorial,Mediterranean,Monsoon,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00723,JAMB,Geography,,,medium,1994,,The annual range of temperature as shown in the graph is approximately,,4 o C,8 o C,24 o C,28 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00724,JAMB,Geography,,,medium,1994,,The length of the main road from Robo junction to Oseb junction is approximately,,6.5km,7.5km,8.5km,9.5km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00725,JAMB,Geography,,,medium,1994,,The relative relief of the area is slightly above,,75m,105m,485m,575m,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00726,JAMB,Geography,,,medium,1994,,The major human activity in the area is probably,,Farming,Fishing,Lumbering,Ranching,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00727,JAMB,Geography,,,medium,1994,,The feature marked Y is best described as,,Valley,Spur,Gap,Pass,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00728,JAMB,Geography,,,medium,1994,,The roads in the area run mainly along,,Steep slopes,Hilltops,Gentle slopes,Watersheds,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00729,JAMB,Geography,,,medium,1995,,The fault scarp is marked?,,P,Q,R,S,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00730,JAMB,Geography,,,medium,1995,,The faults both sides of the horst are?,,normal faults,reversed faults,tear faults,thrust faults,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00731,JAMB,Geography,,,medium,1995,,The river marked S has been dammed for Hydroelectric power generation at,,Shiroro gorge,Jebba,Goronyo,Kurra falls,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00732,JAMB,Geography,,,medium,1995,,The shaded areas numbered 1-6 are,,Biological deserts of the world,Major areas of nomadic grazing,Sparsely populated regions of the world,Mountains of the world,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00733,JAMB,Geography,,,medium,1995,,The stippled coastal seas are the world's major areas of,,Fish farming,Whaling,Deep sea fishing,Commercial fishing,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00734,JAMB,Geography,,,medium,1995,,The major exports from the pacific country shown to the regions indicted by arrows are,,"Coal, gas and crude oil","Automobiles, electronics and manpower","Fish, electronics and manpower","Automobiles, aircraft and iron ore",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00735,JAMB,Geography,,,medium,1995,,"Which of the areas marked F,G,H,J and K are well known for rearing of cattle, sheep and pigs?",,"F,G,H","F,G,J","F,J,K","G,H,J",,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00736,JAMB,Geography,,,medium,1995,,The areas marked P are noted for the production of,,Iron ore,crude oil,Sugarcane,Wheat,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00737,JAMB,Geography,,,medium,1995,,What is the approximate length of the broad and shallow of River Amy?,,5.3km,7.3km,12.8km,15.0km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00738,JAMB,Geography,,,medium,1995,,The deposition along the channel of River Amy to the south west is probably due to the,,A construction of a dam across the river,Fall in gradient at the base of the hill,Marked increase in the rivers erosive power,Channelization of the river course,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00739,JAMB,Geography,,,medium,1995,,The topography of the area may be be described as,,A plateau with a broad footslope plain,A fllod plain with a monodnock,An undulating high plain with occasional inselbergs,A rugged hill with a pediment slope,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00740,JAMB,Geography,,,medium,1995,,The pattern of settlement distribution in the area is BEST explained in terms of the,,Drainage,Slope,Vegetation,Soils,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00741,JAMB,Geography,,,medium,1995,,The woodland vegetation in the area is probably due to the,,Low level of lumbering activity,Humus rich soils,Abundant orographic rainfall,Steep gradient precluding cultivation,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00742,JAMB,Geography,,,medium,1997,,The drainage pattern illustrated in the diagram is,,annular,centripetal,radial,trellised,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00743,JAMB,Geography,,,medium,1997,,The type of pattern illustrated is normally associated with,,Basins,domes,troughs,graben,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00744,JAMB,Geography,,,medium,1997,,The point marked with solid triangles are the locations of Nigeria's,,Thermal power stations,International airports,Automobile assembly,Oil refineries,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00745,JAMB,Geography,,,medium,1997,,The shaded areas labelled Y on the map are noted for,,Dry season wheat cultivation,Floodland rice cultivation,Large-scale fish farming,Large-scale irrigation farming,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00746,JAMB,Geography,,,medium,1997,,The shaded areas labelled X on the map indicate the probable areas of the occurrence of,,Phosphate,Natural gas,Marble,Lignite,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00747,JAMB,Geography,,,medium,1997,,The River marked R is the River,,Gongola,Yobe,Gurara,Taraba,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00748,JAMB,Geography,,,medium,1997,,The shaded area labelled Z on the map indicates the part of Nigeria that suffers most from,,River blindness,Tse-tse fly infestation,Drought and desertification.,Toxic waste pollution,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00749,JAMB,Geography,,,medium,1997,,The length of the road is approximately,,8.0km,8.6km,9.2km,9.8km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00750,JAMB,Geography,,,medium,1997,,The gradient along the main river between the points marked X and Y is approximately,,1:15,1:16,1:17,1:18,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00751,JAMB,Geography,,,medium,1997,,The feature marked P to the north-east is,,A monadnock,A knoll,An inselberg,A volcano,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00752,JAMB,Geography,,,medium,1997,,The bearing of Y from X is approximately,,155 o,160 o,165 o,170 o,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00753,JAMB,Geography,,,medium,1997,,The major constraint to road development in the area is the,,Vegetation cover,Drainage,Settlement pattern,Terrain,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00754,JAMB,Geography,,,medium,1998,,The feature marked F-F is a,,normal fault,thrust fault,tear fault,reverse fault,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00755,JAMB,Geography,,,medium,1998,,The force that is responsible for this type of process is primarily,,tensional,compressional,gravitational,kinetic,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00756,JAMB,Geography,,,medium,1998,,The average gradient of the road descending the spur into Bobo town is approximately,,1:37,1:42,1:47,1:52,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00757,JAMB,Geography,,,medium,1998,,The low islands and extensive sand banks indicate that the channel of River Bintu is probably,,Deep,Eroding,Shallow,Navigable,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00758,JAMB,Geography,,,medium,1998,,To build a road from Achira to Gara will require,,A cutting,An embarkment,A tunnel,A levee,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00759,JAMB,Geography,,,medium,1998,,Motorists will probably cross the river from Bobo to Achira by,,Drawbridge,Ship,Boat,Ferry,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00760,JAMB,Geography,,,medium,1998,,The most important factor that probably explains the distribution of cultivation on the mapped area is,,Drainage,Settlement,Road,Climate,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00761,JAMB,Geography,,,medium,1999,,Which of these statements is true concerning the three rates illustrated above?,,The rate were highest in 1950 and declined steadily throughthe years,The world rate is closer to that of the more developed region than that of the less developed,The average world rate of growth in 2010 is less than the other two rates,the rate of the more developed regions virtually declined through-out the period,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00762,JAMB,Geography,,,medium,1999,,The range of population growth in the less developed regions during the period illustrated is approximately,,2.1 to 2.7%,1.6 to 2.7%,1.4 to 2.1%,0.4 to 1.6%,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00763,JAMB,Geography,,,medium,1999,,the ocean feature at point S is best described as,,a submarine ridge,an ocean floor,an ocean dip,a continental edge,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00764,JAMB,Geography,,,medium,1999,,The section labelled R represents,,An offshore beach,a continental shelf,a continental slope,a marine platform,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00765,JAMB,Geography,,,medium,1999,,"A profile drawn along LK, north east of River Aye describes",,Convex slope,Concave slope,Straight slope,Convex-concave slope,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00766,JAMB,Geography,,,medium,1999,,Aperi is an example of a,,Confluence settlement,Foothill settlement,Wet-point settlement,Dry-point settlement,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00767,JAMB,Geography,,,medium,1999,,The drainage pattern of the area shown is,,Trellis,Dendritic,Radial,Centripetal,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00768,JAMB,Geography,,,medium,1999,,The prominent feature running approximately N.W to S.E is best described as,,A ridge,A spur,An escarpment,An embankment,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00769,JAMB,Geography,,,medium,1999,,The distance between the two confluences along River Kedi is,,9.7km,10.7km,11.7km,12.7km,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00770,JAMB,Geography,,,medium,2000,,The modal temperature for the town is,,23 o C,25 o C,29 o C,30 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00771,JAMB,Geography,,,medium,2000,,The annual range of temperature for the town is,,7 o C,17 o C,23 o C,30 o C,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00772,JAMB,Geography,,,medium,2000,,The feature is a product of,,glacial erosion,wind abrasion,water erosion,wind deposition,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00773,JAMB,Geography,,,medium,2000,,The landform is a,,yardang,zeugen,mesa and butte,rock pedestal,,,jamb-archive|needs-key|needs-figure,past-question,draft
GEO-J00774,JAMB,Geography,,,medium,2000,,The feature marked X is best described as a,,Pass,Col,Gap,Path,,,jamb-archive|needs-key|needs-figure,past-question,draft
